| Nr. | VB | Xbest |
 | 102 | 0,376631965906356 | 1,76305480745551 |
 | 103 | -0,257841475078099 | 1,76305480745551 |
 | 104 | -0,414860927408389 | 1,76305480745551 |
 | 105 | -0,215326427722284 | 1,76305480745551 |
 | 106 | 0,0387973524214909 | 1,76305480745551 |
 | 107 | 1,27500759829996 | 1,76305480745551 |
 | 108 | 0,275022755225975 | 1,76305480745551 |
 | 109 | -1,02772438436838 | 1,76305480745551 |
 | 110 | -0,540887983172553 | 1,76305480745551 |
 | 111 | -0,663000913877903 | 1,76305480745551 |
 | 112 | -0,309870951278429 | 1,76305480745551 |
 | 113 | 0,0106690564441047 | 1,76305480745551 |
 | 114 | 0,758143122053074 | 1,76305480745551 |
 | 115 | -0,739994629001439 | 1,76305480745551 |
 | 116 | 1,76305480745551 | 1,76305480745551 |
 | 117 | -0,327408764936052 | 1,76305480745551 |
 | 118 | -0,0487159027901591 | 1,76305480745551 |
 | 119 | -0,103775355403526 | 1,76305480745551 |
 | 120 | -0,021176071707507 | 1,76305480745551 |
 | 121 | -0,493762976820642 | 1,76305480745551 |
 | 122 | -0,0173267842754362 | 1,76305480745551 |
 | 123 | 0,46793672846843 | 1,76305480745551 |
 | 124 | 1,35671401461222 | 1,76305480745551 |
 | 125 | -0,184743620876639 | 1,76305480745551 |
 | 126 | 0,301861438231637 | 1,76305480745551 |
 | 127 | 0,136088870025091 | 1,76305480745551 |
 | 128 | -0,14451942469124 | 1,76305480745551 |
 | 129 | -0,0648455756128723 | 1,76305480745551 |
 | 130 | -0,28880142967244 | 1,76305480745551 |
 | 131 | -1,35294734723868 | 1,76305480745551 |
 | 132 | -0,262248915465072 | 1,76305480745551 |
 | 133 | -0,313500234748038 | 1,76305480745551 |
 | 134 | -0,743057625369928 | 1,76305480745551 |
 | 135 | -0,306841990857031 | 1,76305480745551 |
 | 136 | -0,179886954250553 | 1,76305480745551 |
 | 137 | 0,0469373765812951 | 1,76305480745551 |
 | 138 | -0,796451364363954 | 1,76305480745551 |
 | 139 | -1,32810476817577 | 1,76305480745551 |
 | 140 | 0,145082088031417 | 1,76305480745551 |
 | 141 | -0,00411290873596466 | 1,76305480745551 |
 | 142 | 0,0820947115778628 | 1,76305480745551 |
 | 143 | 0,0227165744503234 | 1,76305480745551 |
 | 144 | 1,4022890986647 | 1,76305480745551 |
 | 145 | -0,268133652842754 | 1,76305480745551 |
 | 146 | 0,0188955193133696 | 1,76305480745551 |
 | 147 | 0,028529402012434 | 1,76305480745551 |
 | 148 | -0,38108969231885 | 1,76305480745551 |
 | 149 | -0,0169293943330571 | 1,76305480745551 |
 | 150 | -0,0446967760112355 | 1,76305480745551 |
 | 151 | 0,376631965906356 | 1,76305480745551 |
 | 152 | -0,257841475078099 | 1,76305480745551 |
 | 153 | -0,414860927408389 | 1,76305480745551 |
 | 154 | -0,215326427722284 | 1,76305480745551 |
 | 155 | 0,0387973524214909 | 1,76305480745551 |
 | 156 | 1,27500759829996 | 1,76305480745551 |
 | 157 | 0,275022755225975 | 1,76305480745551 |
 | 158 | -1,02772438436838 | 1,76305480745551 |
